[28-Dec-2010 17:46:21] PHP Notice:  Undefined property: FolderController::$viewRenderer in /home/siavorskyi/eclipse-workspace/zend-exp/application/controllers/FolderController.php on line 6
[28-Dec-2010 17:46:21] PHP Fatal error:  Call to a member function setNoRender() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/application/controllers/FolderController.php on line 6
[28-Dec-2010 17:56:06] PHP Fatal error:  Call to a member function getRouter() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/application/Bootstrap.php on line 11
[28-Dec-2010 18:02:49] PHP Notice:  Undefined variable: ctrl in /home/siavorskyi/eclipse-workspace/zend-exp/application/Bootstrap.php on line 30
[28-Dec-2010 18:02:49] PHP Fatal error:  Call to a member function run() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/application/Bootstrap.php on line 30
[28-Dec-2010 18:03:00] PHP Fatal error:  Uncaught exception 'Zend_Controller_Dispatcher_Exception' with message 'Invalid controller specified (error)' in /usr/share/php/Zend/Controller/Dispatcher/Standard.php:248
Stack trace:
#0 /usr/share/php/Zend/Controller/Front.php(954): Zend_Controller_Dispatcher_Standard->dispatch(Object(Zend_Controller_Request_Http), Object(Zend_Controller_Response_Http))
#1 /usr/share/php/Zend/Controller/Front.php(212): Zend_Controller_Front->dispatch()
#2 /home/siavorskyi/eclipse-workspace/zend-exp/application/Bootstrap.php(30): Zend_Controller_Front::run('../controllers')
#3 /usr/share/php/Zend/Application/Bootstrap/BootstrapAbstract.php(666): Bootstrap->_initRouter()
#4 /usr/share/php/Zend/Application/Bootstrap/BootstrapAbstract.php(619): Zend_Application_Bootstrap_BootstrapAbstract->_executeResource('router')
#5 /usr/share/php/Zend/Application/Bootstrap/BootstrapAbstract.php(583): Zend_Application_Bootstrap_BootstrapAbstract->_bootstrap(NULL)
#6 /usr/share/php/Zend/Application.php(355): Zend_Application_Bootstrap_Bootstr in /usr/share/php/Zend/Controller/Dispatcher/Standard.php on line 248
[28-Dec-2010 18:47:18] PHP Notice:  Trying to get property of non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[28-Dec-2010 18:47:18] PHP Notice:  Trying to get property of non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[28-Dec-2010 18:47:18] PHP Fatal error:  Call to a member function getHelper() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[28-Dec-2010 18:48:58] PHP Notice:  Trying to get property of non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[28-Dec-2010 18:48:58] PHP Notice:  Trying to get property of non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[28-Dec-2010 18:48:58] PHP Fatal error:  Call to a member function getHelper() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[28-Dec-2010 18:49:10] PHP Notice:  Trying to get property of non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[28-Dec-2010 18:49:10] PHP Notice:  Trying to get property of non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[28-Dec-2010 18:49:10] PHP Fatal error:  Call to a member function getHelper() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 17
[28-Dec-2010 18:50:51] PHP Warning:  Missing argument 1 for Zend_Controller_Action_Helper_FlashMessenger::addMessage(), called in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 19 and defined in /usr/share/php/Zend/Controller/Action/Helper/FlashMessenger.php on line 133
[28-Dec-2010 18:50:51] PHP Notice:  Undefined variable: message in /usr/share/php/Zend/Controller/Action/Helper/FlashMessenger.php on line 143
[28-Dec-2010 18:51:03] PHP Warning:  Missing argument 1 for Zend_Controller_Action_Helper_FlashMessenger::addMessage(), called in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 19 and defined in /usr/share/php/Zend/Controller/Action/Helper/FlashMessenger.php on line 133
[28-Dec-2010 18:51:03] PHP Notice:  Undefined variable: message in /usr/share/php/Zend/Controller/Action/Helper/FlashMessenger.php on line 143
[28-Dec-2010 18:52:43] PHP Notice:  Undefined property: FolderController::$_flashMessenger in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 35
[28-Dec-2010 18:52:43] PHP Fatal error:  Call to a member function getMessages() on a non-object in /home/siavorskyi/eclipse-workspace/zend-exp/library/MF/Controller/Action.php on line 35
